id,shard,language,task,pass_1,pass_2,duration_seconds,prompt_tokens,completion_tokens,test_timeouts,error_outputs,malformed_responses,exhausted_context_windows,syntax_errors,indentation_errors,lazy_comments,model,edit_format,aider_commit,result_path
cpp/all-your-base,A,cpp,all-your-base,False,True,1200.9647986888885,6167,33743,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/all-your-base/.aider.results.json
cpp/allergies,A,cpp,allergies,True,True,573.4425716400146,6388,14840,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/allergies/.aider.results.json
cpp/bank-account,A,cpp,bank-account,True,True,838.1022019386292,6131,5780,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/bank-account/.aider.results.json
cpp/binary-search-tree,A,cpp,binary-search-tree,False,True,3970.097443342209,71110,76297,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/binary-search-tree/.aider.results.json
cpp/circular-buffer,A,cpp,circular-buffer,False,True,2671.9673080444336,34123,48366,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/circular-buffer/.aider.results.json
cpp/clock,A,cpp,clock,False,True,800.4990570545197,8229,4882,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/clock/.aider.results.json
cpp/complex-numbers,A,cpp,complex-numbers,False,True,1056.5292341709137,22232,33816,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/complex-numbers/.aider.results.json
cpp/crypto-square,A,cpp,crypto-square,False,True,2990.9875967502594,21270,51837,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/crypto-square/.aider.results.json
cpp/diamond,A,cpp,diamond,True,True,215.20739841461182,2906,5733,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/diamond/.aider.results.json
cpp/dnd-character,A,cpp,dnd-character,False,False,184.4116668701172,3943,4663,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/dnd-character/.aider.results.json
cpp/gigasecond,A,cpp,gigasecond,False,True,2357.0620908737183,13272,28249,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/gigasecond/.aider.results.json
cpp/grade-school,A,cpp,grade-school,True,True,599.456746339798,3054,16659,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/grade-school/.aider.results.json
cpp/kindergarten-garden,A,cpp,kindergarten-garden,True,True,4377.636385202408,10977,38774,0,1,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/kindergarten-garden/.aider.results.json
cpp/knapsack,A,cpp,knapsack,True,True,1633.5866467952728,2818,12316,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/knapsack/.aider.results.json
cpp/linked-list,A,cpp,linked-list,True,True,444.36431431770325,5370,11395,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/linked-list/.aider.results.json
cpp/meetup,A,cpp,meetup,False,False,6786.359490633011,107403,74144,0,1,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/meetup/.aider.results.json
cpp/parallel-letter-frequency,A,cpp,parallel-letter-frequency,False,True,1110.8401217460632,31461,28141,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/parallel-letter-frequency/.aider.results.json
cpp/perfect-numbers,A,cpp,perfect-numbers,False,True,3798.606398820877,34349,33095,0,1,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/perfect-numbers/.aider.results.json
cpp/phone-number,A,cpp,phone-number,False,True,1203.2967195510864,15616,33563,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/phone-number/.aider.results.json
cpp/queen-attack,A,cpp,queen-attack,False,True,3515.1073381900787,17347,29620,0,1,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/queen-attack/.aider.results.json
cpp/robot-name,A,cpp,robot-name,False,True,6406.513085126877,23222,75035,0,2,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/robot-name/.aider.results.json
cpp/space-age,A,cpp,space-age,True,True,445.7868092060089,7397,11265,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/space-age/.aider.results.json
